srcIP,srcPort,dstIP,dstPort,protocol,flowSize,pkt-size-0,pkt-size-1,pkt-size-2,pkt-size-3,pkt-size-4,pkt-size-5,pkt-size-6,pkt-size-7,pkt-size-8,pkt-size-9
41.177.26.91,80,68.157.168.194,56993,TCP,9872492,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
68.157.168.194,56993,41.177.26.91,80,TCP,84132,52,52,52,52,52,52,52,52,52,52
177.180.108.25,15636,41.177.26.15,80,TCP,1125528,68,68,68,68,68,68,68,68,68,68
41.177.26.15,80,177.180.108.25,15636,TCP,77167123,1272,1432,1432,1432,1432,1432,1432,1432,1432,1432
15.186.110.132,42245,41.177.26.91,80,TCP,1419476,52,52,52,52,52,52,52,52,52,52
244.3.64.188,49908,41.177.241.46,443,UDP,520347,169,169,169,185,169,169,169,169,185,169
244.3.153.197,51203,41.177.230.130,137,UDP,468,78,78,78,78,78,78,0,0,0,0
41.177.26.91,80,15.186.110.132,42245,TCP,81755128,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
244.3.199.39,1131,41.177.26.176,80,TCP,886,766,40,40,40,0,0,0,0,0,0
41.177.26.176,80,244.3.199.39,1131,TCP,1302,40,325,857,40,40,0,0,0,0,0
244.3.210.254,5900,41.177.244.177,56182,TCP,235178,289,137,175,175,159,328,1420,1420,921,132
41.177.244.177,56182,244.3.210.254,5900,TCP,33696,52,52,52,52,52,52,52,52,52,52
244.3.231.106,11274,244.3.160.239,80,TCP,40,40,0,0,0,0,0,0,0,0,0
244.3.160.239,80,244.3.231.106,11274,TCP,40,40,0,0,0,0,0,0,0,0,0
244.3.231.106,3090,244.3.160.239,80,TCP,40,40,0,0,0,0,0,0,0,0,0
244.3.160.239,80,244.3.231.106,3090,TCP,40,40,0,0,0,0,0,0,0,0,0
244.3.34.55,3888,244.3.31.40,22,TCP,576,104,40,104,40,104,40,104,40,0,0
244.3.31.40,22,244.3.34.55,3888,TCP,288,72,72,72,72,0,0,0,0,0,0
244.3.210.254,5900,41.177.244.185,51175,TCP,218430,284,258,169,135,262,1420,1420,559,126,221
41.177.244.185,51175,244.3.210.254,5900,TCP,29536,52,52,52,52,52,52,52,52,52,52
41.177.98.164,1985,210.218.218.164,1985,UDP,9048,48,48,48,48,48,48,44,44,48,48
246.220.26.95,80,244.3.160.239,46128,TCP,375,295,40,40,0,0,0,0,0,0,0
244.3.160.239,46128,246.220.26.95,80,TCP,120,40,40,40,0,0,0,0,0,0,0
244.3.160.239,80,244.3.231.106,15172,TCP,433,262,91,40,40,0,0,0,0,0,0
77.197.210.67,16021,41.177.26.176,80,TCP,597,40,357,40,40,40,40,40,0,0,0
41.177.26.176,80,77.197.210.67,16021,TCP,12069,40,1500,1008,1500,1500,746,1500,887,1500,1500
41.177.26.176,50760,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,50760,UDP,299,299,0,0,0,0,0,0,0,0,0
41.177.26.176,50761,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,50761,UDP,275,275,0,0,0,0,0,0,0,0,0
41.177.26.176,50762,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,50762,UDP,275,275,0,0,0,0,0,0,0,0,0
198.123.241.156,80,244.3.160.239,46121,TCP,3971,1500,1500,891,40,40,0,0,0,0,0
244.3.160.239,46121,198.123.241.156,80,TCP,160,40,40,40,40,0,0,0,0,0,0
244.3.160.239,80,151.77.217.75,12700,TCP,4031,1500,1500,927,52,52,0,0,0,0,0
244.3.231.106,15172,244.3.160.239,80,TCP,120,40,40,40,0,0,0,0,0,0,0
253.37.253.251,138,253.37.253.91,138,UDP,817,202,202,202,211,0,0,0,0,0,0
151.77.217.75,12700,244.3.160.239,80,TCP,260,52,52,52,52,52,0,0,0,0,0
244.3.210.164,1985,210.218.218.164,1985,UDP,8952,48,48,48,48,48,48,44,44,48,48
244.3.160.186,1985,210.218.218.164,1985,UDP,12240,48,48,48,48,48,48,48,48,48,48
18.181.79.116,60998,41.177.98.176,80,TCP,52,52,0,0,0,0,0,0,0,0,0
41.177.98.176,80,18.181.79.116,60998,TCP,52,52,0,0,0,0,0,0,0,0,0
77.197.128.251,38305,41.177.26.176,80,TCP,80,40,40,0,0,0,0,0,0,0,0
77.197.128.251,38493,41.177.26.176,80,TCP,720,48,40,392,40,40,40,40,40,40,0
41.177.26.176,80,77.197.128.251,38493,TCP,11957,48,40,1500,1010,1500,160,87,1500,744,1500
18.181.79.116,61001,41.177.98.176,80,TCP,52,52,0,0,0,0,0,0,0,0,0
41.177.98.176,80,18.181.79.116,61001,TCP,52,52,0,0,0,0,0,0,0,0,0
18.181.79.116,61002,41.177.98.176,80,TCP,52,52,0,0,0,0,0,0,0,0,0
41.177.98.176,80,18.181.79.116,61002,TCP,52,52,0,0,0,0,0,0,0,0,0
41.177.244.192,1985,210.218.218.164,1985,UDP,4080,48,48,48,48,48,48,48,48,48,48
244.3.93.198,4112,41.177.241.108,3389,TCP,17269,40,40,40,40,40,40,40,40,40,40
244.3.79.66,1623,41.177.98.220,7010,TCP,2242,40,115,112,114,111,40,120,40,114,40
77.197.210.110,4720,41.177.26.176,80,TCP,200,40,40,40,40,40,0,0,0,0,0
210.197.167.105,3237,41.177.26.15,80,TCP,149352,52,52,52,52,52,52,52,52,52,52
41.177.26.176,80,77.197.210.110,4720,TCP,7604,1500,748,1500,1500,1500,856,0,0,0,0
151.77.217.75,6447,244.3.160.239,80,TCP,1609,64,52,1337,52,52,52,0,0,0,0
244.3.160.239,80,151.77.217.75,6447,TCP,396,64,52,176,52,52,0,0,0,0,0
253.37.253.254,1024,253.37.253.31,1132,TCP,168,42,42,42,42,0,0,0,0,0,0
253.37.253.254,1024,253.37.253.251,1081,TCP,168,42,42,42,42,0,0,0,0,0,0
244.3.160.239,46130,198.123.241.156,80,TCP,1411,48,40,1203,40,40,40,0,0,0,0
41.177.26.15,80,210.197.167.105,3237,TCP,8492180,1492,1492,1492,1492,1492,972,1492,1492,1492,1492
41.177.83.214,1985,210.218.218.164,1985,UDP,13284,44,44,44,48,48,48,48,48,48,48
41.177.202.202,53,41.177.26.176,50758,UDP,202,202,0,0,0,0,0,0,0,0,0
41.177.26.176,50763,41.177.202.202,53,UDP,82,82,0,0,0,0,0,0,0,0,0
77.197.210.37,27888,41.177.26.176,80,TCP,733,48,40,365,40,40,40,40,40,40,40
41.177.26.176,80,77.197.210.37,27888,TCP,10851,48,40,1500,52,705,271,131,271,274,759
41.177.117.41,1985,210.218.218.164,1985,UDP,13572,48,48,48,48,48,48,44,44,44,48
244.3.153.197,54618,41.177.230.130,137,UDP,1950,78,78,78,78,78,78,78,78,78,78
15.205.242.71,1886,244.3.210.197,80,TCP,120,40,40,40,0,0,0,0,0,0,0
41.177.26.176,50764,41.177.202.202,53,UDP,71,71,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,50764,UDP,297,297,0,0,0,0,0,0,0,0,0
151.77.15.154,4155,41.177.241.46,443,TCP,1488,73,73,40,73,73,40,73,73,40,73
41.177.26.176,50765,41.177.202.202,53,UDP,80,80,0,0,0,0,0,0,0,0,0
41.177.241.46,443,151.77.15.154,4155,TCP,1224,40,40,73,40,40,73,40,40,73,40
41.177.202.202,53,41.177.26.176,50765,UDP,274,274,0,0,0,0,0,0,0,0,0
41.177.26.176,50766,41.177.202.202,53,UDP,80,80,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,50766,UDP,274,274,0,0,0,0,0,0,0,0,0
198.123.241.156,80,244.3.160.239,46130,TCP,336,48,40,168,40,40,0,0,0,0,0
41.177.26.176,80,77.197.210.164,40147,TCP,11812,1500,1010,1500,1500,751,1500,1132,1500,1419,0
244.3.164.209,1985,210.218.218.164,1985,UDP,8960,48,48,48,48,48,48,48,48,48,48
41.177.18.186,1985,210.218.218.164,1985,UDP,4128,48,48,48,48,48,48,48,48,48,48
41.106.180.77,47084,41.177.241.46,443,TCP,1415,73,40,73,73,40,73,73,40,73,73
41.177.241.46,443,41.106.180.77,47084,TCP,1184,40,73,40,40,73,40,40,73,40,40
41.177.241.254,3389,244.3.93.198,1904,TCP,47105,59,59,59,59,59,59,59,59,59,59
145.95.41.164,1985,210.218.218.164,1985,UDP,4480,48,48,48,48,48,48,48,48,48,48
244.3.210.41,1985,210.218.218.164,1985,UDP,8864,48,48,48,48,48,48,48,48,48,48
41.177.26.176,50767,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
