srcIP,srcPort,dstIP,dstPort,protocol,flowSize,pkt-size-0,pkt-size-1,pkt-size-2,pkt-size-3,pkt-size-4,pkt-size-5,pkt-size-6,pkt-size-7,pkt-size-8,pkt-size-9
244.3.153.30,1770,244.3.176.224,445,TCP,3862217,192,218,192,218,192,218,192,218,192,218
244.3.176.224,445,244.3.153.30,1770,TCP,104691596,144,200,144,200,144,200,144,200,144,200
41.177.241.46,443,151.77.15.210,1137,UDP,112612030,233,281,233,281,233,281,233,281,233,281
151.77.15.210,1137,41.177.241.46,443,UDP,9208651,297,281,297,281,297,281,297,281,297,281
68.83.203.201,48127,244.3.210.197,20480,TCP,560,80,80,80,80,80,80,80,0,0,0
253.160.108.225,12003,253.37.253.43,12003,UDP,503452,1114,212,1114,212,95,95,83,83,83,83
244.3.210.197,80,68.83.203.201,65467,TCP,56535,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
244.3.41.84,1522,41.177.4.139,57471,TCP,8954,78,466,466,162,78,78,610,610,102,78
41.177.4.139,57471,244.3.41.84,1522,TCP,9930,181,510,242,232,214,181,559,278,233,214
253.37.253.43,12003,253.160.108.225,12003,UDP,85340,88,83,93,71,93,88,83,93,88,83
68.157.168.194,47365,41.177.26.91,80,TCP,148448,52,52,52,399,52,52,52,52,52,52
16.176.93.164,15681,244.3.160.239,80,TCP,160,40,40,40,40,0,0,0,0,0,0
77.197.128.64,37011,41.177.26.176,80,TCP,830,40,390,40,40,40,40,40,40,40,40
41.177.26.176,80,77.197.128.64,37011,TCP,19709,40,1500,717,293,293,544,685,1500,1088,1500
68.83.203.201,65460,244.3.210.197,80,TCP,11215,64,52,52,64,64,52,52,64,64,64
244.3.210.197,80,68.83.203.201,65460,TCP,74284,1500,1500,1500,1500,1500,1500,475,453,1500,577
41.177.98.176,80,151.77.135.33,49809,TCP,91476,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
244.3.160.248,44383,41.177.26.72,80,TCP,40,40,0,0,0,0,0,0,0,0,0
41.177.26.72,80,244.3.160.248,44383,TCP,40,40,0,0,0,0,0,0,0,0,0
244.3.160.239,80,16.176.93.164,15681,TCP,40,40,0,0,0,0,0,0,0,0,0
253.37.253.43,446,253.160.251.85,44275,TCP,2838,1420,912,40,40,292,94,40,0,0,0
253.160.251.85,44275,253.37.253.43,446,TCP,4136,40,40,1420,1420,478,478,50,50,40,40
41.177.224.111,3604,244.3.41.84,23,TCP,2933,40,40,103,40,83,40,50,40,62,40
41.106.176.15,41343,41.177.241.46,443,TCP,28467,121,113,215,113,156,40,151,166,40,156
41.177.241.46,443,41.106.176.15,41343,TCP,110050,40,40,121,40,40,40,113,235,40,40
244.3.153.77,1411,41.177.24.241,993,TCP,2842,48,40,142,83,78,93,83,81,93,72
244.3.153.116,514,41.177.230.117,514,UDP,187369,223,221,200,213,222,200,222,222,211,222
