srcIP,srcPort,dstIP,dstPort,protocol,flowSize,pkt-size-0,pkt-size-1,pkt-size-2,pkt-size-3,pkt-size-4,pkt-size-5,pkt-size-6,pkt-size-7,pkt-size-8,pkt-size-9
41.177.117.184,1606,41.177.3.224,38629,TCP,73664,221,62,221,62,221,62,237,62,434,40
41.177.3.224,38629,41.177.117.184,1606,TCP,210872,113,286,113,289,113,393,113,335,1420,291
41.106.180.77,30882,41.177.241.46,443,UDP,22028,185,297,121,297,121,121,297,121,297,121
244.3.153.177,137,244.3.31.251,137,UDP,1194,96,96,96,96,96,96,96,96,96,96
244.3.210.197,80,254.0.244.155,1149,TCP,328500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
41.177.90.4,2294,244.3.160.239,80,TCP,992,48,40,784,40,40,40,0,0,0,0
244.3.160.239,80,41.177.90.4,2294,TCP,1890,48,40,235,1420,67,40,40,0,0,0
41.177.90.4,9437,244.3.160.239,80,TCP,1022,48,40,814,40,40,40,0,0,0,0
244.3.160.239,80,41.177.90.4,9437,TCP,836,48,40,244,424,40,40,0,0,0,0
41.177.90.4,15877,244.3.160.239,80,TCP,1074,48,40,866,40,40,40,0,0,0,0
244.3.160.239,80,41.177.90.4,15877,TCP,567,48,40,235,164,40,40,0,0,0,0
77.197.210.128,18533,41.177.26.176,80,TCP,80,40,40,0,0,0,0,0,0,0,0
254.0.244.155,1148,244.3.210.197,80,TCP,80,40,40,0,0,0,0,0,0,0,0
41.177.26.15,80,241.82.128.180,35357,TCP,40,40,0,0,0,0,0,0,0,0,0
41.177.3.224,51305,41.177.117.184,1605,TCP,31013,349,457,434,113,318,69,40,349,457,434
41.177.117.184,1605,41.177.3.224,51305,TCP,28623,430,305,237,62,348,212,430,305,237,62
41.177.26.91,8000,117.177.13.117,1998,TCP,160,40,40,40,40,0,0,0,0,0,0
41.177.108.68,1985,210.218.218.164,1985,UDP,7816,48,48,48,48,48,48,48,48,48,48
254.160.163.72,61502,41.177.26.176,80,TCP,1661,60,52,466,52,459,52,52,52,52,52
254.160.163.72,61503,41.177.26.176,80,TCP,6345,60,52,446,52,52,52,52,453,52,52
41.177.26.176,80,254.160.163.72,61502,TCP,18475,60,52,336,560,52,341,1500,1500,1500,1500
41.177.26.176,80,254.160.163.72,61503,TCP,54890,60,52,338,1500,1500,1500,1500,189,52,339
77.197.210.123,55331,41.177.26.176,80,TCP,200,40,40,40,40,40,0,0,0,0,0
41.177.26.176,80,77.197.210.123,55331,TCP,7971,1500,760,1500,1034,1500,955,722,0,0,0
151.77.15.154,4170,41.177.241.46,443,UDP,8245641,185,121,121,137,121,121,185,121,121,185
244.3.153.247,4174,244.3.176.224,445,TCP,3120503,103,40,40,52,40,40,103,40,40,103
244.3.176.224,445,244.3.153.247,4174,TCP,108044313,1190,1190,1190,1190,1190,1190,1190,245,1190,1190
41.177.241.46,443,151.77.15.154,4170,UDP,115912418,1273,1273,1273,1273,1273,1273,1273,329,1273,1273
241.82.128.180,35357,41.177.26.15,80,TCP,80,40,40,0,0,0,0,0,0,0,0
41.177.90.4,5190,244.3.160.239,80,TCP,1074,48,40,866,40,40,40,0,0,0,0
244.3.160.239,80,41.177.90.4,5190,TCP,2688,48,40,235,1420,865,40,40,0,0,0
194.220.251.152,80,244.3.160.239,43434,TCP,100104,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420
244.3.160.239,43434,194.220.251.152,80,TCP,1520,40,40,40,40,40,40,40,40,40,40
244.3.160.239,43452,41.43.180.128,80,TCP,1014,48,40,766,40,40,40,40,0,0,0
244.3.93.198,4112,41.177.241.108,3389,TCP,145659,81,144,165,123,144,151,109,137,158,144
244.3.160.239,80,244.3.57.231,6952,TCP,101212,1500,1195,84,1500,634,1500,629,1500,85,1500
244.3.57.231,6952,244.3.160.239,80,TCP,2000,40,40,40,40,40,40,40,40,40,40
254.0.244.155,1152,244.3.210.197,80,TCP,80,40,40,0,0,0,0,0,0,0,0
254.0.244.155,1155,244.3.210.197,80,TCP,80,40,40,0,0,0,0,0,0,0,0
253.160.108.89,12003,253.37.253.43,12003,UDP,134562,95,95,95,95,238,238,78,78,83,83
253.37.253.43,12003,253.160.108.89,12003,UDP,160079,88,84,172,1433,1433,332,88,84,152,1255
41.43.180.128,80,244.3.160.239,43452,TCP,1981,44,40,1500,317,40,40,0,0,0,0
244.3.31.192,1985,210.218.218.164,1985,UDP,7104,48,48,48,48,48,48,48,48,48,48
194.143.194.43,1570,41.177.98.143,8001,TCP,40,40,0,0,0,0,0,0,0,0,0
41.177.117.160,1985,210.218.218.164,1985,UDP,7200,48,48,48,48,48,48,48,48,48,48
244.3.141.201,1985,210.218.218.164,1985,UDP,7816,48,48,48,48,48,48,48,48,48,48
41.177.26.176,59184,41.177.202.202,53,UDP,74,74,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59184,UDP,189,189,0,0,0,0,0,0,0,0,0
41.177.26.176,59185,41.177.202.202,53,UDP,74,74,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59185,UDP,189,189,0,0,0,0,0,0,0,0,0
41.177.26.176,59186,41.177.202.202,53,UDP,79,79,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59186,UDP,134,134,0,0,0,0,0,0,0,0,0
41.177.26.176,59187,41.177.202.202,53,UDP,79,79,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59187,UDP,134,134,0,0,0,0,0,0,0,0,0
41.177.26.176,59188,41.177.202.202,53,UDP,79,79,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59188,UDP,134,134,0,0,0,0,0,0,0,0,0
41.177.26.176,59189,41.177.202.202,53,UDP,96,96,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59189,UDP,154,154,0,0,0,0,0,0,0,0,0
41.177.26.176,59190,41.177.202.202,53,UDP,79,79,0,0,0,0,0,0,0,0,0
41.177.26.176,59191,41.177.202.202,53,UDP,93,93,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59190,UDP,134,134,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59191,UDP,146,146,0,0,0,0,0,0,0,0,0
41.177.26.176,59192,41.177.202.202,53,UDP,96,96,0,0,0,0,0,0,0,0,0
41.177.26.176,59193,41.177.202.202,53,UDP,92,92,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59192,UDP,154,154,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59193,UDP,150,150,0,0,0,0,0,0,0,0,0
41.177.26.176,59194,41.177.202.202,53,UDP,93,93,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59194,UDP,146,146,0,0,0,0,0,0,0,0,0
41.177.26.176,59195,41.177.202.202,53,UDP,92,92,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59195,UDP,150,150,0,0,0,0,0,0,0,0,0
254.0.244.155,1149,244.3.210.197,80,TCP,5280,40,40,40,40,40,40,40,40,40,40
41.177.98.142,80,90.222.110.26,52408,TCP,7922,1400,1400,1400,1235,1400,1007,40,40,0,0
244.3.160.239,43453,41.43.180.128,80,TCP,1044,48,40,796,40,40,40,40,0,0,0
244.3.160.239,43454,41.43.180.128,80,TCP,1056,48,40,848,40,40,40,0,0,0,0
244.3.160.239,43455,41.43.180.128,80,TCP,1096,48,40,848,40,40,40,40,0,0,0
244.3.210.197,80,209.160.71.118,62899,TCP,188108,52,1500,1500,1500,1500,1500,1500,1500,1500,1500
254.160.163.72,61549,41.177.26.176,80,TCP,3529,60,52,457,52,52,448,52,52,452,454
41.177.26.176,80,254.160.163.72,61549,TCP,16004,60,52,353,1500,919,52,337,1500,285,378
41.177.90.4,6751,244.3.160.239,80,TCP,1032,48,40,784,40,40,40,40,0,0,0
244.3.160.239,80,41.177.90.4,6751,TCP,4285,48,40,235,1420,1256,1206,40,40,0,0
41.177.90.4,14791,244.3.160.239,80,TCP,963,48,40,755,40,40,40,0,0,0,0
244.3.160.239,80,41.177.90.4,14791,TCP,1811,48,40,1420,223,40,40,0,0,0,0
41.177.90.4,11644,244.3.160.239,80,TCP,1554,48,40,866,40,40,40,40,40,40,40
244.3.160.239,80,41.177.90.4,11644,TCP,22809,48,40,236,1420,1256,1420,1420,192,1420,1420
41.43.180.128,80,244.3.160.239,43453,TCP,867,44,40,279,424,40,40,0,0,0,0
41.43.180.128,80,244.3.160.239,43454,TCP,657,44,40,493,40,40,0,0,0,0,0
77.197.210.48,55382,41.177.26.176,80,TCP,685,48,40,357,40,40,40,40,40,40,0
41.177.26.176,80,77.197.210.48,55382,TCP,11985,48,40,1500,1010,1500,45,1500,754,1500,692
41.177.90.4,10833,244.3.160.239,80,TCP,1114,48,40,866,40,40,40,40,0,0,0
244.3.160.239,80,41.177.90.4,10833,TCP,3373,48,40,235,1420,1420,130,40,40,0,0
41.43.180.128,80,244.3.160.239,43455,TCP,2779,44,40,1500,1115,40,40,0,0,0,0
244.3.160.239,43456,41.43.180.128,80,TCP,1014,48,40,766,40,40,40,40,0,0,0
77.197.210.176,31636,41.177.26.176,80,TCP,630,48,40,342,40,40,40,40,40,0,0
41.177.26.176,80,241.82.128.180,35354,TCP,40,40,0,0,0,0,0,0,0,0,0
41.177.26.176,80,77.197.210.176,31636,TCP,11618,48,40,1500,1010,1499,1500,740,1500,563,1500
253.94.153.215,3086,253.37.253.167,22,TCP,74760,88,40,88,40,88,40,88,40,88,40
244.3.41.186,1985,210.218.218.164,1985,UDP,7104,48,48,48,48,48,48,48,48,48,48
41.177.241.108,3389,244.3.93.198,4112,TCP,1306014,40,73,40,97,40,40,40,40,81,73
253.37.253.167,22,253.94.153.215,3086,TCP,89992,120,88,88,88,88,88,40,88,88,88
244.3.160.254,54796,244.3.202.202,53,UDP,70,70,0,0,0,0,0,0,0,0,0
244.3.160.239,43457,41.43.180.128,80,TCP,1336,48,40,848,40,40,40,40,40,40,40
244.3.202.202,53,244.3.160.254,54796,UDP,488,488,0,0,0,0,0,0,0,0,0
244.3.160.239,43458,197.154.128.255,80,TCP,943,48,40,695,40,40,40,40,0,0,0
197.154.128.255,80,244.3.160.239,43458,TCP,1798,48,40,1500,170,40,0,0,0,0,0
244.3.160.239,43459,41.43.180.128,80,TCP,1096,48,40,848,40,40,40,40,0,0,0
41.177.93.64,1156,244.3.41.84,23,TCP,2092,132,40,132,40,60,40,132,40,132,40
77.197.210.48,55250,41.177.26.176,80,TCP,80,40,40,0,0,0,0,0,0,0,0
241.82.128.180,35354,41.177.26.176,80,TCP,80,40,40,0,0,0,0,0,0,0,0
41.43.180.128,80,244.3.160.239,43456,TCP,4343,44,40,1500,1500,1219,40,0,0,0,0
41.177.26.176,80,122.39.210.202,42097,TCP,5680,1420,1420,1420,1420,0,0,0,0,0,0
41.43.180.128,80,244.3.160.239,43457,TCP,22597,44,40,1500,1500,1500,1500,1500,1500,1500,1500
41.43.180.128,80,244.3.160.239,43459,TCP,3424,44,40,1500,1500,300,40,0,0,0,0
244.3.40.164,1985,210.218.218.164,1985,UDP,7808,48,48,48,48,48,48,48,48,48,48
41.177.26.176,59196,41.177.202.202,53,UDP,74,74,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59196,UDP,189,189,0,0,0,0,0,0,0,0,0
41.177.26.176,59197,41.177.202.202,53,UDP,79,79,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59197,UDP,134,134,0,0,0,0,0,0,0,0,0
41.177.26.176,59198,41.177.202.202,53,UDP,79,79,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59198,UDP,134,134,0,0,0,0,0,0,0,0,0
41.177.26.176,59199,41.177.202.202,53,UDP,96,96,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59199,UDP,154,154,0,0,0,0,0,0,0,0,0
41.177.26.176,59200,41.177.202.202,53,UDP,93,93,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59200,UDP,146,146,0,0,0,0,0,0,0,0,0
41.177.26.176,59201,41.177.202.202,53,UDP,92,92,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59201,UDP,150,150,0,0,0,0,0,0,0,0,0
77.197.210.128,18689,41.177.26.176,80,TCP,685,48,40,357,40,40,40,40,40,40,0
41.177.26.176,80,77.197.210.128,18689,TCP,11836,48,40,1500,1010,1500,45,1500,754,1500,769
244.3.160.248,58324,41.177.26.55,80,TCP,750,48,40,382,40,40,40,40,40,40,40
41.177.26.55,80,244.3.160.248,58324,TCP,10887,48,40,257,1500,1500,1500,1500,1500,1500,1462
210.197.167.105,3237,41.177.26.15,80,TCP,127436,40,40,40,40,40,40,40,40,40,40
41.177.26.15,80,210.197.167.105,3237,TCP,7380580,1492,1492,1492,1492,1492,1492,1492,972,1492,1492
41.177.26.176,80,241.82.128.180,35355,TCP,40,40,0,0,0,0,0,0,0,0,0
41.177.26.214,39257,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.214,39257,UDP,240,240,0,0,0,0,0,0,0,0,0
41.177.26.214,39258,41.177.202.202,53,UDP,71,71,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.214,39258,UDP,129,129,0,0,0,0,0,0,0,0,0
41.177.26.214,39259,41.177.202.202,53,UDP,88,88,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.214,39259,UDP,146,146,0,0,0,0,0,0,0,0,0
41.177.26.214,39260,41.177.202.202,53,UDP,85,85,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.214,39260,UDP,138,138,0,0,0,0,0,0,0,0,0
41.177.26.214,39261,41.177.202.202,53,UDP,71,71,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.214,39261,UDP,216,216,0,0,0,0,0,0,0,0,0
244.3.160.248,49717,41.177.26.141,2641,UDP,106,106,0,0,0,0,0,0,0,0,0
41.177.26.141,2641,244.3.160.248,49717,UDP,403,403,0,0,0,0,0,0,0,0,0
41.177.26.176,80,241.82.128.180,35351,TCP,40,40,0,0,0,0,0,0,0,0,0
41.177.90.4,15430,244.3.160.239,80,TCP,1947,48,40,819,40,40,40,40,40,40,40
244.3.160.239,80,41.177.90.4,15430,TCP,48330,48,40,1420,709,770,1420,709,1420,709,1420
41.177.26.176,59202,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59202,UDP,299,299,0,0,0,0,0,0,0,0,0
41.177.26.176,59203,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,59203,UDP,275,275,0,0,0,0,0,0,0,0,0
