srcIP,srcPort,dstIP,dstPort,protocol,flowSize,pkt-size-0,pkt-size-1,pkt-size-2,pkt-size-3,pkt-size-4,pkt-size-5,pkt-size-6,pkt-size-7,pkt-size-8,pkt-size-9
41.177.98.92,22,244.3.90.4,59984,TCP,672100756,1420,1420,1420,1420,1420,1420,1420,1420,1420,1420
244.3.90.4,59984,41.177.98.92,22,TCP,14600328,72,72,72,72,72,72,72,72,72,72
41.177.72.186,1985,210.218.218.164,1985,UDP,2016,48,48,48,48,48,48,48,48,48,48
151.77.15.118,1687,41.177.241.46,443,UDP,9278,185,185,201,185,185,185,185,185,185,185
244.3.153.33,137,244.3.31.251,137,UDP,1866,96,96,96,96,96,96,96,96,96,96
244.186.155.13,80,244.3.160.239,65450,TCP,814923,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
244.3.160.239,65450,244.186.155.13,80,TCP,11012,40,40,40,40,40,40,40,40,40,40
244.3.160.239,80,151.77.39.25,7381,TCP,828790,1300,1300,440,1300,1300,440,1300,240,1300,1300
244.3.210.41,1985,210.218.218.164,1985,UDP,2288,48,48,48,48,44,44,48,48,48,48
40.193.220.98,8147,41.177.241.46,4500,UDP,3877605,336,176,176,144,344,352,176,176,144,344
244.3.153.67,1359,41.177.202.249,445,TCP,2757676,276,116,116,85,280,288,116,116,85,284
41.177.202.249,445,244.3.153.67,1359,TCP,2828693,147,112,160,79,79,147,112,160,79,147
41.177.241.46,4500,40.193.220.98,8147,UDP,4000872,208,176,224,144,144,208,176,224,144,208
151.77.39.25,7381,244.3.160.239,80,TCP,17240,40,40,40,40,40,40,40,40,40,40
68.3.152.209,4589,41.177.26.15,80,TCP,7040,40,40,40,40,40,40,40,40,40,40
41.177.26.15,80,68.3.152.209,4589,TCP,301177,1500,1500,1500,932,1500,1500,1500,1500,1500,932
41.177.93.113,1151,244.3.41.84,23,TCP,831,71,40,130,40,55,40,50,40,50,40
94.209.244.110,80,244.3.160.239,32792,TCP,448464,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
244.3.160.239,32792,94.209.244.110,80,TCP,6080,40,40,40,40,40,40,40,40,40,40
122.106.160.201,8123,244.3.210.197,80,TCP,23642,52,52,52,52,52,52,52,52,52,52
244.3.160.239,80,151.77.150.79,6663,TCP,459824,1500,1500,76,1500,1500,76,1500,1500,76,1500
244.3.210.197,80,122.106.160.201,8123,TCP,136787,369,1420,1420,1420,1420,466,1420,1420,796,1420
151.77.150.79,6663,244.3.160.239,80,TCP,12272,52,52,52,52,52,52,52,52,52,52
253.160.239.39,1521,253.37.253.167,63511,TCP,243784,250,251,251,251,40,250,245,245,245,245
253.37.253.167,63511,253.160.239.39,1521,TCP,75307,83,83,83,83,83,83,83,86,83,83
77.197.210.20,37275,41.177.26.176,80,TCP,645,48,40,357,40,40,40,40,40,0,0
41.177.26.176,80,77.197.210.20,37275,TCP,11829,48,40,1500,1010,1500,1500,752,1500,583,1500
77.197.210.81,30734,41.177.26.176,80,TCP,240,40,40,40,40,40,40,0,0,0,0
41.177.26.176,80,77.197.210.81,30734,TCP,7765,1500,744,1500,1500,1500,1021,0,0,0,0
244.3.41.84,23,41.177.93.113,1151,TCP,12461,1019,40,1420,362,1420,74,40,1420,362,40
77.197.210.103,18386,41.177.26.176,80,TCP,120,40,40,40,0,0,0,0,0,0,0
41.177.26.176,80,77.197.210.103,18386,TCP,2139,1500,639,0,0,0,0,0,0,0,0
94.2.202.197,80,244.3.160.239,32804,TCP,2558,1420,1058,40,40,0,0,0,0,0,0
244.3.160.239,32804,94.2.202.197,80,TCP,160,40,40,40,40,0,0,0,0,0,0
244.3.160.239,80,151.77.47.100,13136,TCP,2612,461,1500,571,40,40,0,0,0,0,0
198.123.241.156,80,244.3.160.239,32794,TCP,31287,41,41,1500,1500,1500,1500,1500,1327,1500,1500
244.3.160.239,32794,198.123.241.156,80,TCP,640,40,40,40,40,40,40,40,40,40,40
41.177.3.224,51313,41.177.117.184,1605,TCP,8039,349,377,542,457,434,113,318,69,40,349
41.177.117.184,1605,41.177.3.224,51313,TCP,8360,430,1420,52,520,305,237,62,346,212,430
41.177.26.176,80,77.197.210.77,23925,TCP,11953,1500,1010,1500,54,1500,744,1500,754,1500,1169
41.177.31.186,1985,210.218.218.164,1985,UDP,2016,48,48,48,48,48,48,48,48,48,48
41.177.116.204,1985,210.218.218.164,1985,UDP,1096,48,48,48,48,48,48,48,48,48,48
90.108.77.223,1884,244.3.210.197,80,TCP,848,48,40,680,40,40,0,0,0,0,0
244.3.210.197,80,90.108.77.223,1884,TCP,438,48,390,0,0,0,0,0,0,0,0
40.138.160.255,3063,244.3.160.239,80,TCP,1920,52,52,52,52,52,52,52,52,52,52
244.3.160.239,80,40.138.160.255,3063,TCP,83354,304,1460,693,1460,983,1460,939,1460,732,1460
244.3.93.198,4112,41.177.241.108,3389,TCP,2120,40,40,40,40,40,40,40,40,40,40
151.77.47.100,13136,244.3.160.239,80,TCP,80,40,40,0,0,0,0,0,0,0,0
244.3.185.68,1428,41.177.98.176,80,TCP,1096,976,40,40,40,0,0,0,0,0,0
41.177.98.43,41864,41.177.202.202,53,UDP,74,74,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.43,41864,UDP,132,132,0,0,0,0,0,0,0,0,0
41.177.98.43,41865,41.177.202.202,53,UDP,91,91,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.43,41865,UDP,149,149,0,0,0,0,0,0,0,0,0
41.177.98.43,41866,41.177.202.202,53,UDP,88,88,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.43,41866,UDP,141,141,0,0,0,0,0,0,0,0,0
41.177.98.43,41867,41.177.202.202,53,UDP,87,87,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.43,41867,UDP,145,145,0,0,0,0,0,0,0,0,0
41.177.98.43,41868,41.177.202.202,53,UDP,74,74,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.98.43,41868,UDP,219,219,0,0,0,0,0,0,0,0,0
41.177.98.43,38819,41.177.26.155,8010,TCP,2744,64,64,52,52,1100,1100,52,52,52,52
41.177.26.155,8010,41.177.98.43,38819,TCP,1538,64,64,52,52,549,549,52,52,52,52
244.3.176.118,3389,244.3.153.77,1477,TCP,156837,40,40,149,40,92,40,83,40,86,40
41.177.241.46,443,41.106.176.15,41343,TCP,237805,113,40,113,40,40,222,40,40,40,113
253.160.251.90,2522,253.37.253.43,446,TCP,260,50,50,40,40,40,40,0,0,0,0
253.37.253.43,446,253.160.251.90,2522,TCP,134,94,40,0,0,0,0,0,0,0,0
254.163.149.176,1854,244.3.61.41,445,TCP,48,48,0,0,0,0,0,0,0,0,0
41.177.26.176,56271,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,56271,UDP,299,299,0,0,0,0,0,0,0,0,0
41.177.98.176,80,244.3.185.68,1428,TCP,599,559,40,0,0,0,0,0,0,0,0
41.177.26.176,56272,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,56272,UDP,275,275,0,0,0,0,0,0,0,0,0
41.177.26.176,80,77.197.210.224,24751,TCP,11519,1181,1500,1343,1500,744,1500,801,1500,1450,0
244.3.61.15,1985,210.218.218.164,1985,UDP,2016,48,48,48,48,48,48,48,48,48,48
41.177.230.192,1985,210.218.218.164,1985,UDP,4032,48,48,48,48,48,48,48,48,48,48
41.177.26.176,56273,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,56273,UDP,275,275,0,0,0,0,0,0,0,0,0
184.217.156.252,50924,41.177.26.46,80,TCP,14036,40,40,40,40,52,52,52,52,40,40
41.177.26.46,80,184.217.156.252,50924,TCP,747674,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
41.177.202.57,1985,210.218.218.164,1985,UDP,1008,48,48,48,48,48,48,48,48,48,48
77.197.210.77,23925,41.177.26.176,80,TCP,200,40,40,40,40,40,0,0,0,0,0
241.82.197.177,8026,244.3.160.239,80,TCP,1110,64,52,786,52,52,52,52,0,0,0
244.3.160.239,80,241.82.197.177,8026,TCP,920,64,52,327,373,52,52,0,0,0,0
253.213.108.71,2466,253.37.253.43,23,TCP,4552,40,40,50,50,40,40,50,50,40,40
145.95.41.164,1985,210.218.218.164,1985,UDP,1096,48,48,48,48,44,48,48,48,48,48
244.3.41.145,520,244.3.41.91,520,UDP,432,72,72,72,72,72,72,0,0,0,0
41.177.26.176,80,77.197.210.117,42603,TCP,11600,1181,1500,553,825,1500,744,1500,406,1500,1169
90.108.77.223,1885,244.3.210.197,80,TCP,2055,48,40,858,40,40,40,40,40,869,40
244.3.210.197,80,90.108.77.223,1885,TCP,18696,48,40,1500,1500,1500,1500,1500,1500,1500,1500
244.3.210.254,5900,41.177.244.177,56182,TCP,92896,178,338,434,178,152,328,1420,1420,712,127
41.177.244.177,56182,244.3.210.254,5900,TCP,11388,52,52,52,52,52,52,52,52,52,52
68.157.168.98,49667,41.177.26.176,80,TCP,1312,60,52,420,52,52,52,52,52,52,52
41.177.26.176,80,68.157.168.98,49667,TCP,10823,64,52,1500,128,717,257,143,257,260,536
244.3.210.254,5900,41.177.244.185,51175,TCP,79877,170,757,170,135,260,1420,1420,374,139,284
41.177.244.185,51175,244.3.210.254,5900,TCP,9620,52,52,52,52,52,52,52,52,52,52
77.197.210.224,24751,41.177.26.176,80,TCP,200,40,40,40,40,40,0,0,0,0,0
253.244.77.41,1985,210.218.218.164,1985,UDP,2192,48,48,48,48,44,44,48,48,48,48
41.177.155.186,1985,210.218.218.164,1985,UDP,3024,48,48,48,48,48,48,48,48,48,48
244.3.160.41,1985,210.218.218.164,1985,UDP,3432,48,48,48,48,48,48,48,48,48,48
122.106.160.201,8125,244.3.210.197,80,TCP,26177,915,52,915,916,52,914,52,52,925,52
122.106.160.201,8107,244.3.210.197,80,TCP,14587,936,52,52,52,52,52,913,916,52,915
122.106.160.201,8124,244.3.210.197,80,TCP,10545,938,52,52,52,52,1237,52,52,52,52
244.3.210.197,80,122.106.160.201,8125,TCP,51189,538,495,1420,656,1420,1420,1420,960,1420,1420
244.3.210.197,80,122.106.160.201,8107,TCP,42409,1420,1420,1420,1420,1420,1420,1420,1420,1420,1196
244.3.210.197,80,122.106.160.201,8124,TCP,38731,1420,1420,1420,1420,1420,1420,1420,1420,1420,804
77.197.210.103,18488,41.177.26.176,80,TCP,746,48,40,418,40,40,40,40,40,40,0
41.177.26.176,80,77.197.210.103,18488,TCP,11051,48,40,1494,800,329,131,329,332,1181,1500
41.177.26.176,56274,41.177.202.202,53,UDP,71,71,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,56274,UDP,260,260,0,0,0,0,0,0,0,0,0
41.177.26.176,56275,41.177.202.202,53,UDP,78,78,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,56275,UDP,237,237,0,0,0,0,0,0,0,0,0
41.177.26.176,56276,41.177.202.202,53,UDP,78,78,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,56276,UDP,237,237,0,0,0,0,0,0,0,0,0
41.106.176.15,41343,41.177.241.46,443,TCP,58605,40,125,125,127,125,40,125,125,40,125
244.3.153.77,1477,244.3.176.118,3389,TCP,22031,52,52,54,52,52,52,52,52,52,52
77.197.210.117,42603,41.177.26.176,80,TCP,200,40,40,40,40,40,0,0,0,0,0
244.3.160.239,32805,197.154.128.197,80,TCP,763,48,40,555,40,40,40,0,0,0,0
41.177.98.98,123,244.157.13.98,123,UDP,76,76,0,0,0,0,0,0,0,0,0
41.177.241.254,3389,244.3.93.198,1904,TCP,3405,59,59,59,59,59,59,59,59,59,80
197.154.128.197,80,244.3.160.239,32805,TCP,805,48,40,677,40,0,0,0,0,0,0
244.157.13.98,123,41.177.98.98,123,UDP,76,76,0,0,0,0,0,0,0,0,0
40.193.220.98,8482,41.177.241.46,4500,UDP,6178,384,336,352,160,160,160,160,160,104,160
244.3.153.13,1201,41.177.24.241,5222,TCP,1756,322,274,290,40,40,274,114,322,40,40
41.177.24.241,5222,244.3.153.67,1280,TCP,1778,338,290,306,40,40,290,354,40,40,40
41.177.26.176,80,77.197.210.181,37842,TCP,11619,1500,1010,1500,207,1500,754,1500,1500,1500,648
41.177.4.192,1985,210.218.218.164,1985,UDP,960,48,48,48,48,48,48,48,48,48,48
41.177.98.192,1985,210.218.218.164,1985,UDP,2016,48,48,48,48,48,48,48,48,48,48
41.177.26.164,1985,210.218.218.164,1985,UDP,2192,48,48,48,48,48,48,48,48,48,48
41.177.24.241,5222,244.3.153.13,1201,TCP,1480,40,40,40,290,354,40,40,40,290,306
41.177.241.46,4500,40.193.220.98,8482,UDP,5192,104,104,104,352,128,128,104,104,416,200
244.3.160.248,53609,41.177.26.55,80,TCP,40,40,0,0,0,0,0,0,0,0,0
41.177.26.55,80,244.3.160.248,53609,TCP,40,40,0,0,0,0,0,0,0,0,0
253.160.108.225,12003,253.37.253.43,12003,UDP,305342,1114,1114,539,539,95,95,83,83,63,63
253.37.253.43,12003,253.160.108.225,12003,UDP,26147,88,83,93,88,83,93,88,83,93,88
77.197.210.181,37842,41.177.26.176,80,TCP,200,40,40,40,40,40,0,0,0,0,0
68.157.168.224,48110,41.177.26.15,80,TCP,2906,60,52,341,52,373,52,52,52,52,52
41.177.26.15,80,68.157.168.224,48110,TCP,162858,64,52,255,52,1500,1500,1500,1500,1500,1275
41.177.26.91,80,68.157.168.194,45484,TCP,765310,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
244.3.93.198,1904,41.177.241.254,3389,TCP,2390,40,40,40,40,40,40,40,40,40,95
244.3.153.67,137,244.3.31.251,137,UDP,192,96,96,0,0,0,0,0,0,0,0
244.3.153.67,1280,41.177.24.241,5222,TCP,1474,40,40,40,274,322,40,40,114,274,290
41.177.24.249,1985,210.218.218.164,1985,UDP,3024,48,48,48,48,48,48,48,48,48,48
41.177.26.176,56277,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,56277,UDP,299,299,0,0,0,0,0,0,0,0,0
41.177.26.176,56278,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,56278,UDP,275,275,0,0,0,0,0,0,0,0,0
41.177.26.176,56279,41.177.202.202,53,UDP,81,81,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,56279,UDP,275,275,0,0,0,0,0,0,0,0,0
244.3.164.164,1985,210.218.218.164,1985,UDP,1140,48,44,48,48,48,48,48,48,48,48
41.177.26.176,56280,41.177.202.202,53,UDP,72,72,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,56280,UDP,262,262,0,0,0,0,0,0,0,0,0
41.177.26.176,56281,41.177.202.202,53,UDP,79,79,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,56281,UDP,238,238,0,0,0,0,0,0,0,0,0
41.177.26.176,56282,41.177.202.202,53,UDP,79,79,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,56282,UDP,238,238,0,0,0,0,0,0,0,0,0
244.3.164.138,1206,41.177.98.220,7010,TCP,991,118,40,115,112,40,111,112,40,111,40
68.157.168.194,45484,41.177.26.91,80,TCP,37254,52,52,52,52,52,52,52,52,52,52
41.177.98.220,7010,244.3.164.138,1206,TCP,2349,251,707,391,109,391,109,391,0,0,0
41.177.83.194,1985,210.218.218.164,1985,UDP,3024,48,48,48,48,48,48,48,48,48,48
41.177.18.41,1985,210.218.218.164,1985,UDP,1096,48,48,48,48,44,48,48,48,48,48
41.177.3.224,65162,41.177.117.184,1606,TCP,13233,349,455,432,113,318,69,40,349,455,432
41.177.117.184,1606,41.177.3.224,65162,TCP,12678,429,305,237,62,348,212,429,305,237,62
41.177.26.176,80,77.197.210.71,17952,TCP,13523,1500,714,1500,1153,1205,1228,1491,1230,1500,210
41.177.26.176,56283,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,56283,UDP,214,214,0,0,0,0,0,0,0,0,0
41.177.202.164,1985,210.218.218.164,1985,UDP,1096,48,48,48,48,48,48,44,48,48,48
41.177.31.164,1985,210.218.218.164,1985,UDP,2192,48,48,48,48,48,48,48,48,44,44
41.177.241.181,1985,210.218.218.164,1985,UDP,1140,48,44,48,48,48,48,48,48,48,48
244.3.176.68,1985,210.218.218.164,1985,UDP,1048,48,48,48,48,48,48,48,44,48,48
41.177.26.176,80,77.197.210.218,3640,TCP,10605,1500,85,675,237,131,237,240,939,1500,1089
41.177.26.176,56284,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,56284,UDP,214,214,0,0,0,0,0,0,0,0,0
253.160.251.85,45463,253.37.253.43,446,TCP,7106,52,52,40,40,515,515,191,191,40,40
253.37.253.43,446,253.160.251.85,45463,TCP,37472,48,324,1420,1420,1420,1420,1420,1420,1420,1420
41.177.26.176,56285,41.177.202.202,53,UDP,69,69,0,0,0,0,0,0,0,0,0
41.177.202.202,53,41.177.26.176,56285,UDP,214,214,0,0,0,0,0,0,0,0,0
41.177.180.204,1985,210.218.218.164,1985,UDP,1096,48,48,48,48,48,48,48,48,48,48
151.77.15.210,1137,41.177.241.46,443,UDP,51223,89,985,121,137,121,201,313,985,121,185
77.197.210.71,17952,41.177.26.176,80,TCP,280,40,40,40,40,40,40,40,0,0,0
41.177.241.67,1985,210.218.218.164,1985,UDP,1008,48,48,48,48,48,48,48,48,48,48
151.77.15.13,58182,41.177.241.46,443,UDP,1128,89,185,185,185,153,153,89,89,0,0
41.177.241.46,443,151.77.15.13,58182,UDP,788,89,393,217,89,0,0,0,0,0,0
41.177.161.164,1985,210.218.218.164,1985,UDP,3288,48,48,48,48,48,48,48,48,48,48
253.160.108.89,12001,253.37.253.43,12001,UDP,1784,353,353,95,95,349,349,95,95,0,0
253.37.253.43,12001,253.160.108.89,12001,UDP,952,88,390,88,386,0,0,0,0,0,0
253.160.108.89,12003,253.37.253.43,12003,UDP,57946,293,293,95,95,233,233,78,78,83,83
253.37.253.43,12003,253.160.108.89,12003,UDP,43094,88,220,94,74,152,241,88,184,221,88
77.197.210.218,3640,41.177.26.176,80,TCP,320,40,40,40,40,40,40,40,40,0,0
41.177.230.164,1985,210.218.218.164,1985,UDP,4384,48,48,48,48,48,48,48,48,48,48
41.177.83.214,1985,210.218.218.164,1985,UDP,3288,48,48,48,48,48,48,48,48,48,48
41.177.117.41,1985,210.218.218.164,1985,UDP,3288,48,48,48,48,48,48,48,48,48,48
244.3.251.164,1985,210.218.218.164,1985,UDP,960,48,48,48,48,48,48,48,48,48,48
241.82.197.177,7185,244.3.160.239,80,TCP,1103,64,52,779,52,52,52,52,0,0,0
244.3.160.239,80,241.82.197.177,7185,TCP,2421,64,52,307,1420,474,52,52,0,0,0
41.177.46.192,1985,210.218.218.164,1985,UDP,2016,48,48,48,48,48,48,48,48,48,48
41.177.3.164,1985,210.218.218.164,1985,UDP,2192,48,48,48,48,48,48,44,44,48,48
244.3.160.239,32806,197.154.128.197,80,TCP,796,48,40,548,40,40,40,40,0,0,0
197.154.128.197,80,244.3.160.239,32806,TCP,2293,48,40,1500,665,40,0,0,0,0,0
41.177.75.120,2724,41.177.98.220,7010,TCP,4704,112,40,576,226,576,231,40,576,287,40
244.3.64.188,49908,41.177.241.46,443,UDP,142674,169,169,185,185,169,185,169,169,185,169
